snapshot_date,index_code,symbol,weight,source
2010-07-01,000300,000338,0.45,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000401,0.21,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000402,0.39,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000422,0.17,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000423,0.41,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000425,0.31,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000488,0.14,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000527,0.49,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000528,0.2,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000538,0.32,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000562,0.2,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000568,0.47,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000612,0.13,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000623,0.28,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000625,0.14,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000630,0.22,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000631,0.05,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000651,0.57,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000652,0.17,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000667,0.14,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000680,0.16,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000685,0.06,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000686,0.14,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000690,0.14,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000709,0.36,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000717,0.1,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000718,0.14,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000725,0.15,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000728,0.22,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000729,0.28,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000758,0.11,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000768,0.28,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000778,0.17,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000780,0.08,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000783,0.33,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000792,0.42,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000800,0.29,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000807,0.11,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000825,0.34,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000839,0.24,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000858,1.08,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000876,0.08,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000878,0.26,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000895,0.36,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000897,0.12,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000898,0.31,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000900,0.11,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000927,0.09,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000932,0.1,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000933,0.24,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000937,0.18,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000951,0.12,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000959,0.09,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000960,0.14,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000961,0.07,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000968,0.08,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000969,0.2,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000983,0.65,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000999,0.21,chenditc/investment_data:ts_index_weight
2010-07-01,000300,002001,0.11,chenditc/investment_data:ts_index_weight
2010-07-01,000300,002007,0.3,chenditc/investment_data:ts_index_weight
2010-07-01,000300,002024,1.06,chenditc/investment_data:ts_index_weight
2010-07-01,000300,002028,0.16,chenditc/investment_data:ts_index_weight
2010-07-01,000300,002122,0.1,chenditc/investment_data:ts_index_weight
2010-07-01,000300,002128,0.11,chenditc/investment_data:ts_index_weight
2010-07-01,000300,002142,0.33,chenditc/investment_data:ts_index_weight
2010-07-01,000300,002155,0.13,chenditc/investment_data:ts_index_weight
2010-07-01,000300,002202,0.5,chenditc/investment_data:ts_index_weight
2010-07-01,000300,002242,0.06,chenditc/investment_data:ts_index_weight
2010-07-01,000300,002244,0.08,chenditc/investment_data:ts_index_weight
2010-07-01,000300,002304,0.16,chenditc/investment_data:ts_index_weight
2010-07-01,000300,600000,2.21,chenditc/investment_data:ts_index_weight
2010-07-01,000300,600004,0.1,chenditc/investment_data:ts_index_weight
2010-07-01,000300,600005,0.32,chenditc/investment_data:ts_index_weight
2010-07-01,000300,600006,0.08,chenditc/investment_data:ts_index_weight
2010-07-01,000300,600008,0.14,chenditc/investment_data:ts_index_weight
2010-07-01,000300,600009,0.27,chenditc/investment_data:ts_index_weight
2010-07-01,000300,600010,0.18,chenditc/investment_data:ts_index_weight
2010-07-01,000300,600011,0.41,chenditc/investment_data:ts_index_weight
