score,policy,top_k,cost_bps,gross_total_return,net_total_return,net_research_proxy_alpha,average_one_way_turnover
b3_beta_residual_rank,b3_beta_residual_rank_sector_top30,30,0,0.4690974397161709,0.4690974397161709,0.19196539208769914,0.48096301730329993
b3_beta_residual_rank,b3_beta_residual_rank_sector_top30,30,10,0.4690974397161709,0.3711913061816352,0.09405925855316344,0.48096301730329993
b3_beta_residual_rank,b3_beta_residual_rank_sector_top30,30,20,0.4690974397161709,0.27971816987282727,0.0025861222443555043,0.48096301730329993
b3_beta_residual_rank,b3_beta_residual_rank_sector_top30,30,30,0.4690974397161709,0.19426137837487545,-0.08287066925359632,0.48096301730329993
b3_beta_residual_rank,b3_beta_residual_rank_sector_top30,30,50,0.4690974397161709,0.03986152308672408,-0.23727052454174768,0.48096301730329993
b3_beta_residual_rank,b3_beta_residual_rank_sector_top50,50,0,0.4739821185576123,0.4739821185576123,0.19685007092914053,0.39786149377801816
b3_beta_residual_rank,b3_beta_residual_rank_sector_top50,50,10,0.4739821185576123,0.3922527354754901,0.11512068784701834,0.39786149377801816
b3_beta_residual_rank,b3_beta_residual_rank_sector_top50,50,20,0.4739821185576123,0.3149910096737185,0.03785896204524675,0.39786149377801816
b3_beta_residual_rank,b3_beta_residual_rank_sector_top50,50,30,0.4739821185576123,0.24195622120292004,-0.035175826425551726,0.39786149377801816
b3_beta_residual_rank,b3_beta_residual_rank_sector_top50,50,50,0.4739821185576123,0.10766781609126519,-0.16946423153720658,0.39786149377801816
b3_beta_residual_rank,b3_beta_residual_rank_buffer20_30,20,0,0.4591385522643936,0.4591385522643936,0.18200650463592183,0.37257759289191483
b3_beta_residual_rank,b3_beta_residual_rank_buffer20_30,20,10,0.4591385522643936,0.3831141854279636,0.10598213779949184,0.37257759289191483
b3_beta_residual_rank,b3_beta_residual_rank_buffer20_30,20,20,0.4591385522643936,0.31098806882233143,0.033856021193859664,0.37257759289191483
b3_beta_residual_rank,b3_beta_residual_rank_buffer20_30,20,30,0.4591385522643936,0.24256351917663466,-0.03456852845183711,0.37257759289191483
b3_beta_residual_rank,b3_beta_residual_rank_buffer20_30,20,50,0.4591385522643936,0.116080723818202,-0.16105132381026976,0.37257759289191483
