model,horizon,portfolio_policy,top_k,weighting,buffer_exit_rank,sector_balanced,periods,gross_total_return,net_total_return,transaction_cost_rate_sum,transaction_cost_sum,compounded_total_return_drag,research_proxy_return,gross_research_proxy_alpha,net_research_proxy_alpha,net_cagr,sharpe,sortino,max_drawdown,average_one_way_turnover,annualized_turnover,average_transaction_cost_rate,mean_maximum_sector_weight,p95_maximum_sector_weight,worst_maximum_sector_weight,average_size_rank,average_liquidity_rank,mean_top_minus_bottom_spread,blocked_sell_orders,terminal_unliquidated_positions,exit_tradability_status,pnl_classification
ridge,5,rank_weight_top20,20,rank,,False,287,0.11744176650505889,-0.1746251553662692,0.3024885973969764,0.3024885973969764,0.2920669218713281,0.284204252196415,-0.1667624856913561,-0.4588294075626842,-0.03314100364919903,-0.048673242062177484,-0.08799738035530993,-0.4282353293700075,0.5017642280531395,25.28891709387823,0.001053967238316991,0.4093239355048075,0.6313351219618704,0.8100911626993677,0.32922979730415697,0.09069157347439005,0.0004563349453656425,1,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
ridge,5,rank_decay_top20,20,rank_decay,,False,287,0.050255168655338966,-0.23345613487195627,0.31437946757392143,0.31437946757392143,0.28371130352729523,0.284204252196415,-0.23394908354107602,-0.5176603870683713,-0.045615070465459984,-0.10459548389763584,-0.18665473292010917,-0.45492657397436986,0.5214886306736817,26.283026985953555,0.0010953988417209807,0.42162551448150165,0.6637844260029534,0.8301607270308788,0.32922979730415697,0.09069157347439005,0.0004563349453656425,1,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
ridge,5,buffer_top20_exit30,20,equal,30.0,False,287,0.2463366000903573,0.007893534065245067,0.21234436646983978,0.21234436646983978,0.23844306602511223,0.284204252196415,-0.03786765210605769,-0.2763107181311699,0.0013816929361203378,0.10796866632420105,0.19740273876200048,-0.33814805142756466,0.35223428800103257,17.75260811525204,0.0007398758413583267,0.39487023024242657,0.6001838064036844,0.7513420641272887,0.33156603837433923,0.09163860065685661,0.000474286690594211,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
ridge,5,sector_balanced_top20,20,equal,,True,287,0.16309988383474017,-0.1296106822982077,0.2898190702067723,0.2898190702067723,0.2927105661329479,0.284204252196415,-0.12110436836167482,-0.4138149344946227,-0.02408248685695169,-0.01695420090721888,-0.027876790522251033,-0.418557185471647,0.48074820049646705,24.229709305021938,0.0010098225442744678,0.3499916399793507,0.40511093563024253,0.41109400427352616,0.32848158796688254,0.08700632017898798,0.00021720779256575353,1,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
lightgbm_regression,5,equal_top10,10,equal,,False,287,0.6923164764866943,0.25257721600930005,0.3000979565947395,0.3000979565947395,0.4397392604773942,0.284204252196415,0.40811222429027927,-0.03162703618711493,0.040340308461107144,0.2861579771421119,0.4893081902514504,-0.26356388947230325,0.4977986678373831,25.089052859004106,0.0010456374794241793,0.45883698225258285,0.7023665468352235,1.0,0.3696816966832196,0.13112833311115943,0.0032022485478043652,1,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
lightgbm_regression,5,equal_top20,20,equal,,False,287,0.6872321410930211,0.29715386190079385,0.262388933659766,0.262388933659766,0.39007827919222726,0.284204252196415,0.4030278888966061,0.012949609704378862,0.04674864776414589,0.31620336942569993,0.5746708598798835,-0.2751509926201481,0.43524748867819996,21.936473429381277,0.0009142471556089409,0.3914440541518968,0.6054659598980091,0.8499569061683039,0.35735044519933884,0.15011895514113807,0.0020435134181891516,1,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
lightgbm_regression,5,equal_top30,30,equal,,False,287,0.6579285866554918,0.30702539693371955,0.23745728242958436,0.23745728242958436,0.35090318972177226,0.284204252196415,0.3737243344590768,0.022821144737304566,0.04814317201838425,0.3241152192914477,0.6032849917903058,-0.2599274999311446,0.3938912279890111,19.85211789064616,0.0008273772906954159,0.3622356159996204,0.5545120087278927,0.7004483821457541,0.3514668454520412,0.1601538907501363,0.0016948412961910733,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
lightgbm_regression,5,rank_weight_top20,20,rank,,False,287,0.7383301951654391,0.3039791502424942,0.28684915866762944,0.28684915866762944,0.43435104492294485,0.284204252196415,0.4541259429690241,0.019774898046079237,0.04771376621690404,0.3187831535626602,0.5728647470332863,-0.23884501423575144,0.47582175440179625,23.98141642185053,0.0009994744204447018,0.422404556175492,0.6848520209475506,0.8536323568111837,0.35735044519933884,0.15011895514113807,0.0020435134181891516,1,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
lightgbm_regression,5,rank_decay_top20,20,rank_decay,,False,287,0.8118517507036509,0.33563110329965795,0.30429524476595654,0.30429524476595654,0.47622064740399295,0.284204252196415,0.5276474985072359,0.051426851103242965,0.0521357555879971,0.3356338290756113,0.6060966743081515,-0.2591925327435034,0.5047610684499171,25.43995784987582,0.001060262176884866,0.4384207605934447,0.6943362620188623,0.8852292370436513,0.35735044519933884,0.15011895514113807,0.0020435134181891516,1,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
lightgbm_regression,5,buffer_top20_exit30,20,equal,30.0,False,287,0.6199668695297624,0.3309005318755287,0.19601033619102395,0.19601033619102395,0.28906633765423373,0.284204252196415,0.33576261733334745,0.04669627967911372,0.051480391800257985,0.3360757166680028,0.6332729123635885,-0.24125383149805446,0.3251396359830367,16.38703765354505,0.0006829628438711636,0.38974640816205325,0.644186463169871,0.8499572209260148,0.35915488179728583,0.15500521037146175,0.0019012428701085866,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
