test_year,horizon,factor_name,neutralization,ic_dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_ratio
2022,20,earnings_yield_rank,raw,242,0.03852468784821341,0.12841507902642468,0.3000012782010279,0.6239669421487604
2022,20,quality,raw,242,-0.010129741367101427,0.14822574280803283,-0.06833996022013838,0.4256198347107438
2022,20,growth,raw,242,-0.06186452123505531,0.1450235386652645,-0.42658262103124966,0.3677685950413223
2022,20,momentum,raw,242,-0.0872731385217798,0.1893909739593906,-0.46080938651539427,0.371900826446281
2022,20,short_reversal,raw,242,0.01192911757015072,0.18495876507521697,0.06449609222520229,0.5041322314049587
2022,20,volume_attention,raw,242,0.0046061252810803395,0.12944379454263363,0.03558397911120618,0.5041322314049587
2022,20,low_volatility,raw,242,0.05420755542693093,0.24752128634302595,0.21900159064221936,0.5743801652892562
2022,20,liquidity,raw,242,-0.05023586884898182,0.09202484867294736,-0.5458946096995834,0.3512396694214876
2022,20,industry_momentum,raw,242,-0.05654680070036366,0.12294652166804058,-0.4599300568505856,0.39669421487603307
2022,20,roe_change_rank,raw,242,-0.029586719644967802,0.10512129628073374,-0.2814531469052133,0.3677685950413223
2022,20,roic_change_rank,raw,242,-0.034935034076297486,0.11784977794809927,-0.2964369953389542,0.45454545454545453
2022,20,debt_ratio_change_rank,raw,242,0.005782872723121908,0.07933831326712198,0.07288877825838966,0.5702479338842975
2022,20,revenue_growth_change_rank,raw,242,0.008426526150702218,0.10047241467088561,0.083869051801977,0.5495867768595041
2022,20,profit_growth_change_rank,raw,242,-0.015504323178305699,0.09869735066108,-0.15708955787016504,0.4256198347107438
2022,20,operating_cash_margin_change_rank,raw,242,-0.02240503963293238,0.06378396728221472,-0.3512644413258333,0.36363636363636365
2022,20,gross_margin_change_rank,raw,242,-0.010458544186628484,0.07286661603177776,-0.14352998336120648,0.44214876033057854
2022,20,fundamental_freshness_rank,raw,242,-0.015531013691620762,0.08580178649979045,-0.18101037665059216,0.45867768595041325
2022,20,benchmark_weight_rank,raw,242,0.010943634192104184,0.1112163383533748,0.09839951893877565,0.5743801652892562
2022,20,momentum_120_rank,raw,242,-0.11942551574833576,0.2387175969650775,-0.5002794819763823,0.4090909090909091
2022,20,volatility_60_rank,raw,242,0.06938550449909724,0.2784069889932736,0.2492232854857448,0.5619834710743802
2022,20,downside_volatility_60_rank,raw,242,0.0506994011121713,0.2755797672408931,0.1839735972628692,0.5413223140495868
2022,20,drawdown_120_rank,raw,242,-0.05864877910863013,0.2601647055123523,-0.22542942169319563,0.45454545454545453
2022,20,price_position_120_rank,raw,242,-0.10720904106360644,0.18604060992083207,-0.5762668758677382,0.33884297520661155
2022,20,volume_trend_60_rank,raw,242,-0.02931311469294639,0.12317278467858733,-0.23798369720581836,0.4834710743801653
2022,20,intraday_strength_20_rank,raw,242,-0.06991362979142814,0.18855091291666506,-0.3707944380111714,0.3925619834710744
2022,20,overnight_gap_20_rank,raw,242,-0.03234776035196393,0.12319364332270875,-0.262576537875645,0.45867768595041325
2022,20,technology_momentum_rank,raw,242,-0.009105534843738642,0.10031774670244081,-0.09076693948028138,0.4628099173553719
2022,20,technology_growth_rank,raw,242,-0.040050891408193165,0.08875007829304177,-0.4512772515642193,0.30991735537190085
