experiment_id,score,policy,top_k,cost_bps,gross_total_return,net_total_return,net_research_proxy_alpha,average_one_way_turnover
F_REGIME_INTERACTIONS,lgbm_regime_interactions,lgbm_regime_interactions_sector_top20,20,0,0.426838299220593,0.426838299220593,0.14970625159212125,0.6341610016246477
F_REGIME_INTERACTIONS,lgbm_regime_interactions,lgbm_regime_interactions_sector_top20,20,10,0.426838299220593,0.3026935415288987,0.025561493900426946,0.6341610016246477
F_REGIME_INTERACTIONS,lgbm_regime_interactions,lgbm_regime_interactions_sector_top20,20,20,0.426838299220593,0.18920531474815405,-0.08792673288031772,0.6341610016246477
F_REGIME_INTERACTIONS,lgbm_regime_interactions,lgbm_regime_interactions_sector_top20,20,30,0.426838299220593,0.08547132000589897,-0.1916607276225728,0.6341610016246477
F_REGIME_INTERACTIONS,lgbm_regime_interactions,lgbm_regime_interactions_sector_top20,20,50,0.426838299220593,-0.09597265690123302,-0.3731047045297048,0.6341610016246477
G1_RIDGE_GEN2,ridge_gen2,ridge_gen2_sector_top20,20,0,0.19132793228403622,0.19132793228403622,-0.08580411534443555,0.6003239893070164
G1_RIDGE_GEN2,ridge_gen2,ridge_gen2_sector_top20,20,10,0.19132793228403622,0.09293169478871799,-0.18420035283975378,0.6003239893070164
G1_RIDGE_GEN2,ridge_gen2,ridge_gen2_sector_top20,20,20,0.19132793228403622,0.0025525583255874285,-0.27457948930288434,0.6003239893070164
G1_RIDGE_GEN2,ridge_gen2,ridge_gen2_sector_top20,20,30,0.19132793228403622,-0.08045373804514,-0.35758578567361177,0.6003239893070164
G1_RIDGE_GEN2,ridge_gen2,ridge_gen2_sector_top20,20,50,0.19132793228403622,-0.22667357663808152,-0.5038056242665533,0.6003239893070164
G2_RIDGE_STABLE_CORE,ridge_stable_core,ridge_stable_core_sector_top20,20,0,0.47500749952871435,0.47500749952871435,0.19787545190024258,0.6049501505208942
G2_RIDGE_STABLE_CORE,ridge_stable_core,ridge_stable_core_sector_top20,20,10,0.47500749952871435,0.3523992179051494,0.07526717027667762,0.6049501505208942
G2_RIDGE_STABLE_CORE,ridge_stable_core,ridge_stable_core_sector_top20,20,20,0.47500749952871435,0.23984477735589227,-0.0372872702725795,0.6049501505208942
G2_RIDGE_STABLE_CORE,ridge_stable_core,ridge_stable_core_sector_top20,20,30,0.47500749952871435,0.1365310770313004,-0.14060097059717136,0.6049501505208942
G2_RIDGE_STABLE_CORE,ridge_stable_core,ridge_stable_core_sector_top20,20,50,0.47500749952871435,-0.04530738577141613,-0.3224394333998879,0.6049501505208942
H1_ENSEMBLE_50_50,ensemble_50_50,ensemble_50_50_sector_top20,20,0,0.42746814999190796,0.42746814999190796,0.1503361023634362,0.6050918188835391
H1_ENSEMBLE_50_50,ensemble_50_50,ensemble_50_50_sector_top20,20,10,0.42746814999190796,0.3088733895375837,0.03174134190911193,0.6050918188835391
H1_ENSEMBLE_50_50,ensemble_50_50,ensemble_50_50_sector_top20,20,20,0.42746814999190796,0.19999877072052286,-0.07713327690794891,0.6050918188835391
H1_ENSEMBLE_50_50,ensemble_50_50,ensemble_50_50_sector_top20,20,30,0.42746814999190796,0.10005851383139297,-0.1770735337970788,0.6050918188835391
H1_ENSEMBLE_50_50,ensemble_50_50,ensemble_50_50_sector_top20,20,50,0.42746814999190796,-0.07585374984532911,-0.3529857974738009,0.6050918188835391
H2_ENSEMBLE_PAST_IC,ensemble_past_ic,ensemble_past_ic_sector_top20,20,0,0.37762825800569466,0.37762825800569466,0.1004962103772229,0.602584431578366
H2_ENSEMBLE_PAST_IC,ensemble_past_ic,ensemble_past_ic_sector_top20,20,10,0.37762825800569466,0.2635784811597566,-0.013553566468715195,0.602584431578366
H2_ENSEMBLE_PAST_IC,ensemble_past_ic,ensemble_past_ic_sector_top20,20,20,0.37762825800569466,0.15884332434823856,-0.11828872328023321,0.602584431578366
H2_ENSEMBLE_PAST_IC,ensemble_past_ic,ensemble_past_ic_sector_top20,20,30,0.37762825800569466,0.06267244956880602,-0.21445959805966575,0.602584431578366
H2_ENSEMBLE_PAST_IC,ensemble_past_ic,ensemble_past_ic_sector_top20,20,50,0.37762825800569466,-0.10668445079247746,-0.3838164984209492,0.602584431578366
H3_ENSEMBLE_REGIME,ensemble_regime,ensemble_regime_sector_top20,20,0,0.3378851835296781,0.3378851835296781,0.060753135901206345,0.6051300940644538
H3_ENSEMBLE_REGIME,ensemble_regime,ensemble_regime_sector_top20,20,10,0.3378851835296781,0.22664217949946686,-0.05048986812900491,0.6051300940644538
H3_ENSEMBLE_REGIME,ensemble_regime,ensemble_regime_sector_top20,20,20,0.3378851835296781,0.12452410470190522,-0.15260794292656654,0.6051300940644538
H3_ENSEMBLE_REGIME,ensemble_regime,ensemble_regime_sector_top20,20,30,0.3378851835296781,0.030792711542199314,-0.24633933608627245,0.6051300940644538
H3_ENSEMBLE_REGIME,ensemble_regime,ensemble_regime_sector_top20,20,50,0.3378851835296781,-0.1341731628842886,-0.41130521051276037,0.6051300940644538
I_RESIDUALIZED_SCORE,residualized_shallow,residualized_shallow_sector_top20,20,0,0.3423475727802041,0.3423475727802041,0.06521552515173235,0.6399306387446217
I_RESIDUALIZED_SCORE,residualized_shallow,residualized_shallow_sector_top20,20,10,0.3423475727802041,0.2246111932475663,-0.05252085438090548,0.6399306387446217
