experiment_id,score,dimension,bucket,rows,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat
C3_DE_REDUNDANT_REG,lgbm_dedup,sector,healthcare,33513,860,0.03204180312795851,0.050854700854700854,0.22895616802159194,0.13994732443694977,0.5941860465116279,0.026914338447690325,4.104061172871617
C3_DE_REDUNDANT_REG,lgbm_dedup,sector,other,21075,382,-0.00966018959930258,-0.01818181818181818,0.2322273413164076,-0.04159798559697009,0.468586387434555,-0.040019942422634486,-0.8130251527395873
C3_DE_REDUNDANT_REG,lgbm_dedup,sector,technology,70747,1434,0.012704006242428305,0.01667140004542926,0.22519588844737698,0.05641313582595419,0.5195258019525802,0.002630479159583151,2.1362634845896173
C3_DE_REDUNDANT_REG,lgbm_dedup,market_cap,small,119106,1434,0.08080879954134665,0.07921123556265988,0.2025740825969277,0.3989098630259438,0.6778242677824268,0.040790067611157034,15.105995466270567
C3_DE_REDUNDANT_REG,lgbm_dedup,market_cap,mid,118636,1434,0.05421306071136652,0.05346683664547559,0.21135639283267538,0.2565006905387783,0.6157601115760112,0.034094605080867715,9.713217514809998
C3_DE_REDUNDANT_REG,lgbm_dedup,market_cap,large,119577,1434,0.016049708481568715,0.020245072430643985,0.23446800449806832,0.06845159328210576,0.5362622036262203,-0.01856889026327379,2.5921381084308677
C3_DE_REDUNDANT_REG,lgbm_dedup,volatility,low,119106,1434,0.027670181051185957,0.03721788833908475,0.19946855452492013,0.1387195145474875,0.5634588563458857,0.005635232929352334,5.253057274498414
C3_DE_REDUNDANT_REG,lgbm_dedup,volatility,mid,118636,1434,0.010060551035276314,0.01177388169803623,0.1860296035814239,0.05408037667979483,0.5223152022315202,-0.005596552436343667,2.0479261122858077
C3_DE_REDUNDANT_REG,lgbm_dedup,volatility,high,119577,1434,0.050687790615099704,0.0537950020903422,0.17971617842001839,0.2820435592428202,0.601813110181311,0.03912624328334449,10.680479782811897
C4_REMOVE_DEAD_REG,lgbm_dead_removed,market_regime,neutral,200979,804,0.06395788884823063,0.04759658321981222,0.18088640859490582,0.3535804007887845,0.6094527363184079,0.02916906905679836,10.025734699105788
